sample_index,true_label_name,SFT+LoRA_status,SFT+LoRA_pred,SFT+LoRA_confidence,SFT-only_status,SFT-only_pred,SFT-only_confidence
8,banded,not-logged-as-wrong,,,WRONG,chequered,0.4087
29,banded,WRONG,pleated,0.3063,WRONG,porous,0.3580
31,banded,WRONG,lined,0.9798,WRONG,lined,0.8904
32,banded,WRONG,lined,0.5313,not-logged-as-wrong,,
33,banded,WRONG,striped,0.3981,WRONG,striped,0.8970
40,blotchy,not-logged-as-wrong,,,WRONG,pitted,0.9124
41,blotchy,WRONG,smeared,0.9547,not-logged-as-wrong,,
43,blotchy,WRONG,smeared,0.9995,WRONG,smeared,0.6641
44,blotchy,WRONG,freckled,0.7667,WRONG,freckled,0.9125
46,blotchy,WRONG,smeared,0.9884,not-logged-as-wrong,,
47,blotchy,WRONG,smeared,0.7160,not-logged-as-wrong,,
48,blotchy,WRONG,chequered,0.2923,WRONG,chequered,0.7587
49,blotchy,not-logged-as-wrong,,,WRONG,pitted,0.8106
50,blotchy,WRONG,pitted,0.6313,WRONG,porous,0.8552
51,blotchy,WRONG,marbled,0.6882,not-logged-as-wrong,,
52,blotchy,WRONG,wrinkled,0.3306,WRONG,wrinkled,0.3969
54,blotchy,WRONG,veined,0.8089,not-logged-as-wrong,,
60,blotchy,WRONG,smeared,0.9786,WRONG,sprinkled,0.3897
62,blotchy,WRONG,pitted,0.5972,WRONG,porous,0.7699
63,blotchy,WRONG,sprinkled,0.9938,WRONG,sprinkled,0.9621
64,blotchy,WRONG,porous,0.7881,WRONG,porous,0.7868
65,blotchy,WRONG,veined,0.9976,WRONG,veined,0.9564
66,blotchy,WRONG,bumpy,0.8800,WRONG,bumpy,0.4895
67,blotchy,WRONG,stained,0.7811,WRONG,stained,0.9892
68,blotchy,WRONG,veined,0.2394,WRONG,stained,0.7953
69,blotchy,WRONG,veined,0.8567,WRONG,veined,0.6238
70,blotchy,WRONG,crosshatched,0.3701,WRONG,grooved,0.6385
71,blotchy,WRONG,frilly,0.5439,WRONG,stained,0.9586
72,blotchy,WRONG,flecked,0.5442,WRONG,flecked,0.8757
73,blotchy,WRONG,porous,0.6715,WRONG,marbled,0.7291
74,blotchy,WRONG,lacelike,0.3621,WRONG,stained,0.5346
75,blotchy,WRONG,veined,0.9610,WRONG,veined,0.6370
76,blotchy,WRONG,veined,0.4386,not-logged-as-wrong,,
77,blotchy,WRONG,smeared,0.8110,WRONG,stained,0.4355
78,blotchy,WRONG,bumpy,0.6075,not-logged-as-wrong,,
79,blotchy,WRONG,veined,0.9992,WRONG,veined,0.9875
81,braided,WRONG,perforated,0.3421,WRONG,perforated,0.7595
82,braided,WRONG,cracked,0.5161,WRONG,knitted,0.2642
83,braided,WRONG,spiralled,0.4640,WRONG,woven,0.4051
84,braided,WRONG,pitted,0.5101,WRONG,bumpy,0.6983
86,braided,WRONG,zigzagged,0.6226,not-logged-as-wrong,,
93,braided,WRONG,knitted,0.9991,WRONG,knitted,0.9991
98,braided,WRONG,spiralled,0.9992,WRONG,spiralled,0.9852
99,braided,WRONG,studded,0.6309,not-logged-as-wrong,,
100,braided,WRONG,spiralled,0.8192,WRONG,spiralled,0.7692
111,braided,WRONG,bumpy,0.5329,not-logged-as-wrong,,
115,braided,WRONG,woven,0.7547,WRONG,woven,0.6116
116,braided,WRONG,waffled,0.8468,WRONG,waffled,0.9660
118,braided,WRONG,interlaced,0.6272,WRONG,interlaced,0.8051
121,bubbly,WRONG,flecked,0.5410,WRONG,flecked,0.9771
128,bubbly,WRONG,porous,0.3964,WRONG,stained,0.7209
129,bubbly,not-logged-as-wrong,,,WRONG,blotchy,0.7692
130,bubbly,WRONG,blotchy,0.8774,WRONG,blotchy,0.9661
131,bubbly,not-logged-as-wrong,,,WRONG,bumpy,0.5981
