sample_index,true_label_name,SFT+LoRA_status,SFT+LoRA_pred,SFT+LoRA_confidence,SFT-only_status,SFT-only_pred,SFT-only_confidence
0,banded,WRONG,lined,0.6934,WRONG,lined,0.8556
2,banded,not-logged-as-wrong,,,WRONG,lined,0.5883
8,banded,WRONG,lined,0.6240,not-logged-as-wrong,,
9,banded,not-logged-as-wrong,,,WRONG,lined,0.7088
12,banded,WRONG,grooved,0.6546,not-logged-as-wrong,,
25,banded,not-logged-as-wrong,,,WRONG,lined,0.6172
28,banded,not-logged-as-wrong,,,WRONG,lined,0.6022
29,banded,WRONG,flecked,0.6535,WRONG,grooved,0.8143
31,banded,WRONG,lined,0.9954,WRONG,lined,0.9084
32,banded,WRONG,lined,0.9810,WRONG,lined,0.8028
33,banded,WRONG,striped,0.9199,WRONG,striped,0.9956
34,banded,not-logged-as-wrong,,,WRONG,lined,0.5848
36,banded,not-logged-as-wrong,,,WRONG,striped,0.5091
40,blotchy,WRONG,pitted,0.7547,not-logged-as-wrong,,
41,blotchy,WRONG,smeared,0.3853,not-logged-as-wrong,,
42,blotchy,WRONG,smeared,0.6519,WRONG,marbled,0.6888
43,blotchy,WRONG,smeared,0.9990,WRONG,smeared,0.8839
44,blotchy,WRONG,pitted,0.7405,WRONG,pitted,0.4624
48,blotchy,not-logged-as-wrong,,,WRONG,swirly,0.4677
49,blotchy,not-logged-as-wrong,,,WRONG,pitted,0.9075
50,blotchy,WRONG,porous,0.7967,WRONG,porous,0.4479
52,blotchy,not-logged-as-wrong,,,WRONG,wrinkled,0.4868
53,blotchy,not-logged-as-wrong,,,WRONG,pitted,0.7449
54,blotchy,WRONG,stained,0.5022,not-logged-as-wrong,,
60,blotchy,WRONG,smeared,0.9088,WRONG,smeared,0.6306
62,blotchy,WRONG,pitted,0.5340,WRONG,pitted,0.5319
63,blotchy,WRONG,sprinkled,0.9572,WRONG,pitted,0.6108
64,blotchy,WRONG,freckled,0.9139,WRONG,freckled,0.9927
65,blotchy,WRONG,veined,0.9997,WRONG,veined,0.9547
66,blotchy,WRONG,bumpy,0.5210,WRONG,bumpy,0.7323
68,blotchy,WRONG,smeared,0.5006,WRONG,matted,0.3414
70,blotchy,WRONG,crosshatched,0.7212,WRONG,stained,0.3000
71,blotchy,not-logged-as-wrong,,,WRONG,frilly,0.7289
72,blotchy,WRONG,flecked,0.5355,WRONG,flecked,0.4742
73,blotchy,WRONG,marbled,0.7525,WRONG,marbled,0.9064
74,blotchy,WRONG,lacelike,0.9364,WRONG,stained,0.7559
77,blotchy,WRONG,stained,0.9475,WRONG,stained,0.5727
78,blotchy,WRONG,bumpy,0.8201,not-logged-as-wrong,,
79,blotchy,not-logged-as-wrong,,,WRONG,veined,0.7032
80,braided,not-logged-as-wrong,,,WRONG,woven,0.5722
81,braided,WRONG,zigzagged,0.5315,not-logged-as-wrong,,
82,braided,WRONG,grooved,0.9849,WRONG,waffled,0.5226
83,braided,WRONG,cobwebbed,0.6105,WRONG,cracked,0.6632
84,braided,WRONG,bumpy,0.7623,WRONG,bumpy,0.9712
85,braided,WRONG,woven,0.7774,not-logged-as-wrong,,
86,braided,WRONG,zigzagged,0.5170,not-logged-as-wrong,,
93,braided,WRONG,knitted,1.0000,WRONG,knitted,1.0000
98,braided,not-logged-as-wrong,,,WRONG,woven,0.4820
